FIPS,Data
8025,43028
8025,n/a
8027,51259
8027,n/a
8027,41330
8029,48387
8029,45577
8029,42487
8031,58297
8031,51267
8031,60098
8033,47517
8033,48514
8033,n/a
8035,122393
8035,111768
8035,111154
8037,92511
8037,80377
8037,83803
8039,92213
8039,88963
8039,92849
8041,69136
8041,63398
8041,62535
8043,50401
8043,42643
8043,44712
8045,69390
8045,73126
8045,66503
8047,76660
8047,65390
8047,72544
8049,70487
8049,68091
8049,66489
8051,54484
8051,55610
8051,52651
8053,55019
8053,n/a
8053,n/a
8055,38041
8055,n/a
8055,35801
8057,46964
8057,n/a
8057,45994
8059,84625
8059,74448
8059,75170
8061,45005
8061,45169
8061,39250
8063,48928
8063,46959
8063,45881
8065,55627
8065,46311
8065,46176
8067,59270
8067,63572
8067,62533
8069,71809
8069,63600
8069,64980
8071,41728
8071,42966
8071,40586
8073,47101
8073,46889
8073,44725
8075,48297
8075,46151
8075,44876
8077,52931
8077,58665
8077,51971
8079,51426
8079,60209
8079,50385
8081,61290
8081,60377
8081,53010
8083,47351
8083,49692
8083,45645
8085,52001
8085,52494
8085,44865
8087,51018
8087,48574
8087,51456
8089,43890
8089,38468
8089,35051
8091,62015
8091,65792
8091,61333
8093,76597
8093,72220
8093,61644
8095,47489
8095,49670
8095,n/a
8097,87630
8097,72675
8097,67755
8099,44180
8099,38273
8099,41740
8101,48372
8101,45856
8101,42386
8103,55657
8103,65341
8103,57991
8105,46986
8105,44923
8105,38534
8107,79125
8107,68590
8107,67472
8109,37628
8109,34286
8109,34765
8111,45404
8111,49331
8111,46397
8113,71601
8113,74813
8113,62243
8115,41735
8115,42393
8115,49583
8117,83516
8117,77462
8117,73538
8119,74037
8119,65440
8119,66809
8121,47864
8121,44770
8121,51458
8123,62461
8123,62641
8123,66489
8125,48953
8125,47451
8125,44668
9001,96300
9001,91566
9001,89773
9003,74910
9003,70521
9003,69936
9005,83052
9005,78463
9005,76438
9007,87335
9007,84398
9007,81673
9009,72073
9009,68858
9009,64872
9011,74747
9011,73709
9011,69411
9013,87142
9013,86954
9013,81312
9015,66584
9015,66893
9015,62553
10001,60437
10001,59922
10001,57647
10003,77364
10003,70390
10003,68336
10005,57866
10005,57514
10005,57901
11001,59223
11001,65942
11001,77649
12001,46381
12001,45794
12001,45478
12003,59087
12003,53267
12003,59506
12005,53267
12005,53823
12005,50283
12007,48911
12007,46337
12007,46106
12009,59181
12009,55798
12009,51536
12011,61531
12011,58244
12011,54895
12013,39221
12013,n/a
12013,36237
12015,53691
12015,50744
12015,46511
12017,45754
12017,42740
12017,40574
12019,72103
12019,68938
12019,61971
12021,71269
12021,65469
12021,62407
12023,45577
12023,43056
12023,43504
12027,45330
12027,40538
12027,35435
12029,38494
12029,36406
12029,35910
12031,60073
12031,55731
12031,51296
12033,52001
12033,49094
12033,47361
12035,59351
12035,54184
12035,51049
12037,39489
12037,41114
12037,41267
12039,46118
12039,40255
12039,39830
12041,44760
12041,41732
12041,42934
12043,45419
12043,44425
12043,37385
12045,44684
12045,44143
12045,44647
12047,37839
12047,42379
12047,36209
12049,44546
12049,42214
12049,39063
12051,49578
12051,42024
12051,37966
12053,48072
12053,47334
12053,44324
12055,44513
12055,39374
12055,36374
12057,60014
12057,55813
12057,53742
12059,41211
12059,36333
12059,37474
12061,58496
12061,53340
12061,49009
12063,43899
12063,43105
12063,36944
12065,48701
12065,46600
12065,47599
12067,45237
12067,n/a
12067,n/a
12069,54464
12069,52366
12069,49734
12071,59506
12071,56352
12071,52052
12073,55371
12073,50128
12073,49941
12075,39788
12075,40265
12075,36554
12077,42564
12077,45944
12077,36741
12079,39159
12079,42206
12079,31816
12081,57077
12081,53871
12081,53408
12083,47145
12083,45451
12083,41964
12085,63585
12085,59953
12085,55588
12086,53081
12086,49130
12086,46338
12087,62405
12087,60641
12087,63030
12089,67923
12089,66152
12089,64294
12091,61211
12091,61115
12091,59955
12093,44949
12093,43197
12093,39059
12095,60970
12095,56491
12095,51586
12097,56399
12097,52199
12097,47343
